molecule,fruity odor
CC(CN)O,false
CCC(=O)C(=O)O,false
C1=CC=C(C=C1)CCC(=O)O,false
C1=CC(=CC=C1CO)O,true
C1=CC(=CC=C1C=O)O,false
C1=CC(=CC=C1C(=O)O)O,false
CC(=O)O,false
CC=O,true
CC(C(=O)C)O,false
CC(=O)C,false
C(CCC(=O)O)CC(=O)O,false
C1=CC=C(C=C1)C=O,true
C1=CC=C(C=C1)C(=O)O,false
C1=CC=C(C=C1)CO,true
CCCC=O,true
CCCCO,false
CCCC(=O)O,true
C(=O)O,true
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,false
CC(C)C1=CC=C(C=C1)CO,false
CC(C)C1=CC=C(C=C1)C=O,false
COC1=C(C=CC(=C1)C=C)O,false
CC1=CC=CC=C1O,false
CC1=CC(=CC=C1)O,false
CCCCCCCC(=O)O,false
CCCCCCCC=O,true
COC1=CC=CC=C1O,false
C(C(C(=O)O)O)C(=O)O,false
CCC=O,false
CSCCC(=O)O,true
CC(C(=O)O)O,false
CC(=O)C(=O)C,false
C1CC(=O)OC2=CC=CC=C21,false
C(C(=O)CO)O,true
CCO,false
C(C(=O)O)O,false
C1=CC=C2C(=C1)C=CN2,false
CC(C)CC(C(=O)O)N,false
C(C(C(=O)O)O)(C(=O)O)O,false
CSCCC(C(=O)O)N,false
CS,false
CC(=O)C=O,false
C1=CC=C2C=CC=CC2=C1,false
CCCCCCCCO,false
C(C(=O)C(=O)O)O,false
CCCCCCCCCCCCCCCC=O,false
CCCCCCCCCCCCCCCC(=O)O,false
C1=CC=C(C=C1)CC(C(=O)O)N,false
C1=CC=C(C=C1)O,false
C1=CC=C(C=C1)CC(=O)C(=O)O,false
C1=CC=C(C=C1)CC=O,false
C1=CC=C(C=C1)CC(=O)O,false
C1=CC=C(C=C1)CCN,false
CC(CO)O,false
CCCO,true
CCC(=O)O,false
C1=CC=NC=C1,false
CC(=O)C(=O)O,false
CSC,true
C(CC(=O)O)C(=O)O,false
C1CCSC1,false
CC1=C(SC=N1)CCO,false
C[N+](C)(C)[O-],false
CN(C)C,true
CC(C)C(C(=O)O)N,false
COC1=C(C=CC(=C1)C=O)O,false
CC1CCC(C(C1)O)C(C)C,false
C1=CC(=C(C=C1O)O)C(=O)O,false
CC(=O)C1=CC(=C(C=C1)O)OC,false
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,true
C1=CC=C(C=C1)CN=C=S,false
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,false
CC1(C2CCC1(C(=O)C2)C)C,false
CCCCCCCCCCCCCCCCO,false
CC1(C2CCC(O1)(CC2)C)C,false
CC1=CC=C(C=C1)O,false
CCCCCCCCCC(=O)O,false
CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,false
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,false
COC1=C(C=CC(=C1)CC=C)O,false
C(CC=O)CC=O,true
CC(C)C1=CC(=O)C(=CC=C1)O,false
CC(C)O,false
CCCCCCCCCCCC(=O)O,false
COC(=O)C1=CC=CC=C1O,false
COC1=CC(=CC2=C1OCO2)CC=C,false
C1CNCCN1,false
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,false
C1=CC(=CC(=C1)O)O,false
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,false
C=CCC1=CC2=C(C=C1)OCO2,false
CCCCCCCCCCCCCCCCCC(=O)O,false
CC(=O)OCC(COC(=O)C)OC(=O)C,true
C1=CC(=CC=C1CCN)O,false
C=CCCCCCCCCC(=O)O,false
C(CC(=O)N)[C@@H](C(=O)O)N,false
C=CCN=C=S,false
C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,false
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,true
C1=CC=C(C=C1)CCO,false
C1=CC=C(C=C1)C[C@@H](C(=O)O)N,false
CCCCCC=O,true
CCCCCO,false
CC[C@H](C)[C@@H](C(=O)O)N,false
CCN,false
CCS,true
CC(C)N,false
CC(C)S,false
CC(C)(C)O,false
CC(C)(C)S,false
CCC(C)(C)O,false
CC(C)(C(C)(C)O)O,false
CC(=O)OC1CC2CCC1(C2(C)C)C,false
CCC(C)(CC)O,true
CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,true
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,true
CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,true
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,false
CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,true
CC1=CC(=O)CC(C1)(C)C,true
CCC(C)(CCCC(C)C)O,false
CC(=CCCC(C)(C=C)O)C,false
CC(C)CN,false
CC(C)CO,false
CC(C)C=O,true
CCC(C)O,true
CCC(=O)C,true
CC(=O)C=C,false
CC(=O)OC,true
CC(C)C(=O)O,true
CC1(C2CCC(C2)C1=C)C,false
CC1CCC(CC1)C(C)(C)OC(=O)C,true
CC1=CCC2CC1C2(C)C,false
CC(=C)C(=O)OC,true
CC1=CNC2=CC=CC=C12,true
CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],false
CNC1=CC=CC=C1C(=O)OC,true
CC(C)COC(=O)C1=CC=CC=C1O,false
CC(C)CCOC(=O)C1=CC=CC=C1O,false
CCOC(=O)C1=CC=CC=C1N,true
C1C2=CC=CC=C2C(=O)O1,false
CCC(CC)C(=O)O,true
C1=COC(=C1)C(=O)O,false
CC1=CC(=C(C=C1)C(C)(C)C)O,false
CC(C)C1=CC=CC=C1O,false
CC1CCC(C(C1)OC(=O)C2=CC=CC=C2O)C(C)C,false
CC1=CC(=C(C=C1)C(=O)C)C,false
CC1=CC(=O)C(CC1)C(C)C,false
CC1=CC(=C(C=C1)C(C)C)O,false
C1=CC=C(C(=C1)C=O)O,false
CC1=CC=CC2=CC=CC=C12,false
COC1=C(C(=CC=C1)OC)O,false
COC1=CC=CC=C1OC,false
C1=CC=C2C(=C1)C=CC=N2,false
CC1=CC2=CC=CC=C2C=C1,false
C1=CC=C2C=C(C=CC2=C1)S,false
CC1=CC2=C(C=C1)N=CC=C2,false
CC1=CC2=C(C=C1)OC(=O)C=C2,false
C1=CC=C(C=C1)C2=CC=CC=C2,false
COC1=CC2=CC=CC=C2C=C1,false
CC(=O)C1=CC2=CC=CC=C2C=C1,false
COC1=C(C=C(C=C1)CC=C)OC,false
CCOC1=CC2=CC=CC=C2C=C1,false
CC(C)CC1=NC2=CC=CC=C2C=C1,false
CC(=O)OC1=C(C=C(C=C1)CC=C)OC,true
CC1=CC(=C(C=C1)O)OC,false
CC(C=O)C1=CC=CC=C1,false
CCC(C1=CC=CC=C1)O,false
CCC(=O)C1=CC=CC=C1,true
COC(=O)C1=CC=CC=C1,true
COC(=O)C1=CN=CC=C1,false
CCOC(=O)C1=CC=CC=C1,true
CC(=O)CC(=O)C1=CC=CC=C1,false
C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,true
CCOC(=O)CC(=O)C1=CC=CC=C1,true
CCCOC(=O)C1=CC=C(C=C1)O,false
CCCCOC(=O)C1=CC=C(C=C1)O,false
CC(C)CCOC(=O)C1=CC=CC=C1,true
C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,false
C1=CC=C2C(=C1)N=CS2,false
CC1=CC2=CC=CC=C2N1,false
CC1=NC2=CC=CC=C2O1,false
CC1=C(C=C(C=C1)O)C,false
CC1=CC(=C(C=C1)C)O,false
CCC(C)C=O,true
CCC(=O)CC,true
C1CC(=O)OC1,false
CN1C=CC=C1,false
CC1=CCC(CC1OC(=O)C)C(=C)C,true
CCC(=O)OC1CC(CC=C1C)C(=C)C,true
CCCC(C)C(=O)O,false
CCOC(=O)C(C)C,true
CCOC(=O)C(=C)C,false
CCOC(=O)C(C)O,true
CC(C)COC(=O)C(C)C,true
